gym,year,totals,classtype,count,ward
Curtis Hall Gymnasium,1925,16830,girls,2352,22
D Street Gymnasium,1914,18359,girls,3337,13
D Street Gymnasium,1915,21740,girls,3193,13
D Street Gymnasium,1916,24228,girls,3286,13
D Street Gymnasium,1917,25159,girls,4102,13
D Street Gymnasium,1918,22956,girls,5140,13
D Street Gymnasium,1919,5821,girls,1072,13
D Street Gymnasium,1920,0,girls,0,13
D Street Gymnasium,1921,25818,girls,8534,13
D Street Gymnasium,1922,17697,girls,2256,13
East Boston Gymnasium,1914,33227,girls,7642,2
East Boston Gymnasium,1915,32184,girls,7431,2
East Boston Gymnasium,1916,27781,girls,6636,2
East Boston Gymnasium,1917,21709,girls,4726,2
East Boston Gymnasium,1918,19837,girls,4099,2
East Boston Gymnasium,1920,8348,girls,3171,2
East Boston Gymnasium,1921,20185,girls,4838,2
East Boston Gymnasium,1922,23296,girls,3473,2
East Boston Gymnasium,1923,24539,girls,2523,2
East Boston Gymnasium,1924,10361,girls,979,2
North Bennet Street,1914,26513,girls,2785,6
North Bennet Street,1915,19566,girls,2442,6
North Bennet Street,1916,18888,girls,2465,6
North Bennet Street,1917,19855,girls,2627,6
North Bennet Street,1918,13337,girls,2638,6
North Bennet Street,1920,5410,girls,1110,6
North Bennet Street,1921,23150,girls,3625,6
North Bennet Street,1922,31040,girls,4430,6
North Bennet Street,1923,29383,girls,6360,6
North Bennet Street,1924,25438,girls,3995,6
North Bennet Street,1925,5370,girls,1390,6
Roslindale Gymnasium,1919,4340,girls,1060,24
Roslindale Gymnasium,1920,13536,girls,4085,24
Roslindale Gymnasium,1921,24313,girls,5444,24
Roslindale Gymnasium,1922,25055,girls,6035,24
Roslindale Gymnasium,1923,24835,girls,6640,24
Roslindale Gymnasium,1924,22364,girls,7108,24
Roslindale Gymnasium,1925,12783,girls,2965,24
Ward 6,1917,12576,girls,1973,6
Ward 6,1918,7222,girls,1276,6
Ward 6,1919,3065,girls,766,6
Ward 6,1921,1134,girls,195,6
Ward 6,1922,5107,girls,1030,6
Ward 12,1917,31817,girls,8016,12
Ward 12,1918,28404,girls,6314,12
Ward 12,1919,13718,girls,3977,12
Ward 12,1920,15388,girls,4385,12
Ward 12,1921,18318,girls,5320,12
Ward 12,1922,22449,girls,6134,12
Ward 12,1923,22692,girls,5305,12
Ward 12,1924,18122,girls,4525,12
Ward 16,1914,50063,girls,9109,16
Ward 16,1915,49721,girls,7138,16
Ward 16,1916,48606,girls,9536,16
Ward 17,1916,14216,girls,3666,17
Ward 17,1917,56818,girls,11593,17
Ward 17,1918,48114,girls,11351,17
Ward 17,1919,19190,girls,6625,17
Ward 17,1920,29861,girls,9400,17
Ward 17,1921,35771,girls,9223,17
Ward 17,1922,42634,girls,9070,17
Ward 17,1923,39102,girls,7235,17
Ward 17,1924,33717,girls,6614,17
Ward 3,1914,17712,girls,4437,3
Ward 3,1915,17712,girls,4437,3
Ward 3,1916,16976,girls,3862,3
Ward 4,1917,18643,girls,4852,4
Ward 4,1918,14879,girls,3966,4
Ward 4,1919,5593,girls,1487,4
Ward 4,1920,9047,girls,3513,4
Ward 4,1921,8036,girls,2399,4
Ward 4,1922,12860,girls,5142,4
Ward 4,1923,11687,girls,4505,4
Ward 4,1924,11702,girls,4649,4
Ward 5,1917,19026,girls,3370,5
Ward 5,1918,13257,girls,1696,5
Ward 5,1919,9865,girls,2933,5
Ward 5,1920,10413,girls,2658,5
Ward 5,1921,2247,girls,483,5
Ward 5,1922,14232,girls,3213,5
Ward 5,1923,13740,girls,2711,5
Ward 5,1924,14140,girls,2645,5
Ward 6,1923,8282,girls,2257,6
Ward 6,1924,3167,girls,865,6
Ward 7,1914,15425,girls,2717,7
Ward 7,1915,13042,girls,2309,7
Ward 7,1916,4015,girls,880,7
Ward 9,1914,10812,girls,2043,9
Ward 9,1915,14725,girls,3257,9
Ward 9,1916,18992,girls,4319,9
Cabot Street Gymnasium,1914,38005,mothers,993,18
Cabot Street Gymnasium,1915,29567,mothers,659,18
Cabot Street Gymnasium,1916,24618,mothers,409,18
Cabot Street Gymnasium,1917,37082,mothers,0,18
Cabot Street Gymnasium,1918,33193,mothers,0,18
Cabot Street Gymnasium,1919,10500,mothers,0,18
Cabot Street Gymnasium,1920,12053,mothers,0,18
Cabot Street Gymnasium,1921,10615,mothers,0,18
Cabot Street Gymnasium,1922,25442,mothers,0,18
Cabot Street Gymnasium,1923,21073,mothers,0,18
Cabot Street Gymnasium,1924,22754,mothers,0,18
Cabot Street Gymnasium,1925,10465,mothers,0,18
Curtis Hall Gymnasium,1914,43240,mothers,2705,22
Curtis Hall Gymnasium,1915,33415,mothers,2565,22
Curtis Hall Gymnasium,1916,29265,mothers,2685,22
Curtis Hall Gymnasium,1917,31240,mothers,2615,22
Curtis Hall Gymnasium,1918,19833,mothers,2110,22
Curtis Hall Gymnasium,1919,7228,mothers,274,22
Curtis Hall Gymnasium,1920,9312,mothers,66,22
Curtis Hall Gymnasium,1921,17848,mothers,552,22
Curtis Hall Gymnasium,1922,7770,mothers,0,22
Curtis Hall Gymnasium,1923,15623,mothers,401,22
Curtis Hall Gymnasium,1924,16102,mothers,2236,22
Curtis Hall Gymnasium,1925,16830,mothers,3115,22
D Street Gymnasium,1914,18359,mothers,0,13
D Street Gymnasium,1915,21740,mothers,145,13
D Street Gymnasium,1916,24228,mothers,377,13
D Street Gymnasium,1917,25159,mothers,0,13
D Street Gymnasium,1918,22956,mothers,0,13
D Street Gymnasium,1919,5821,mothers,0,13
D Street Gymnasium,1920,0,mothers,0,13
D Street Gymnasium,1921,25818,mothers,0,13
D Street Gymnasium,1922,17697,mothers,338,13
East Boston Gymnasium,1914,33227,mothers,558,2
East Boston Gymnasium,1915,32184,mothers,286,2
East Boston Gymnasium,1916,27781,mothers,0,2
East Boston Gymnasium,1917,21709,mothers,0,2
East Boston Gymnasium,1918,19837,mothers,0,2
East Boston Gymnasium,1920,8348,mothers,0,2
East Boston Gymnasium,1921,20185,mothers,0,2
East Boston Gymnasium,1922,23296,mothers,0,2
East Boston Gymnasium,1923,24539,mothers,0,2
East Boston Gymnasium,1924,10361,mothers,0,2
North Bennet Street,1914,26513,mothers,1774,6
North Bennet Street,1915,19566,mothers,954,6
North Bennet Street,1916,18888,mothers,0,6
North Bennet Street,1917,19855,mothers,0,6
North Bennet Street,1918,13337,mothers,0,6
North Bennet Street,1920,5410,mothers,0,6
North Bennet Street,1921,23150,mothers,0,6
North Bennet Street,1922,31040,mothers,0,6
North Bennet Street,1923,29383,mothers,0,6
North Bennet Street,1924,25438,mothers,0,6
North Bennet Street,1925,5370,mothers,0,6
Roslindale Gymnasium,1919,4340,mothers,34,24
Roslindale Gymnasium,1920,13536,mothers,34,24
Roslindale Gymnasium,1921,24313,mothers,0,24
Roslindale Gymnasium,1922,25055,mothers,0,24
Roslindale Gymnasium,1923,24835,mothers,0,24
Roslindale Gymnasium,1924,22364,mothers,0,24
Roslindale Gymnasium,1925,12783,mothers,0,24
Ward 6,1917,12576,mothers,29,6
Ward 6,1918,7222,mothers,422,6
Ward 6,1919,3065,mothers,0,6
Ward 6,1921,1134,mothers,0,6
Ward 6,1922,5107,mothers,74,6
Ward 12,1917,31817,mothers,1600,12
Ward 12,1918,28404,mothers,1602,12
Ward 12,1919,13718,mothers,44,12
Ward 12,1920,15388,mothers,685,12
Ward 12,1921,18318,mothers,88,12
Ward 12,1922,22449,mothers,514,12
Ward 12,1923,22692,mothers,210,12
Ward 12,1924,18122,mothers,0,12
Ward 16,1914,50063,mothers,1543,16
Ward 16,1915,49721,mothers,3946,16
Ward 16,1916,48606,mothers,6096,16
Ward 17,1916,14216,mothers,721,17
Ward 17,1917,56818,mothers,6516,17
Ward 17,1918,48114,mothers,4447,17
Ward 17,1919,19190,mothers,509,17
Ward 17,1920,29861,mothers,703,17
Ward 17,1921,35771,mothers,1067,17
Ward 17,1922,42634,mothers,1657,17
Ward 17,1923,39102,mothers,1910,17
Ward 17,1924,33717,mothers,1277,17
Ward 3,1914,17712,mothers,765,3
Ward 3,1915,17712,mothers,765,3
Ward 3,1916,16976,mothers,1911,3
Ward 4,1917,18643,mothers,2119,4
Ward 4,1918,14879,mothers,2085,4
Ward 4,1919,5593,mothers,1004,4
Ward 4,1920,9047,mothers,1466,4
Ward 4,1921,8036,mothers,1574,4
Ward 4,1922,12860,mothers,1655,4
Ward 4,1923,11687,mothers,1173,4
Ward 4,1924,11702,mothers,428,4
Ward 5,1917,19026,mothers,0,5
Ward 5,1918,13257,mothers,0,5
Ward 5,1919,9865,mothers,0,5
Ward 5,1920,10413,mothers,0,5
Ward 5,1921,2247,mothers,0,5
Ward 5,1922,14232,mothers,346,5
Ward 5,1923,13740,mothers,397,5
Ward 5,1924,14140,mothers,119,5
Ward 6,1923,8282,mothers,0,6
Ward 6,1924,3167,mothers,0,6
Ward 7,1914,15425,mothers,0,7
Ward 7,1915,13042,mothers,0,7
Ward 7,1916,4015,mothers,0,7
Ward 9,1914,10812,mothers,520,9
Ward 9,1915,14725,mothers,645,9
Ward 9,1916,18992,mothers,767,9
