gym,year,totals,classtype,count,ward
D Street Gymnasium,1914,18359,men,5393,13
D Street Gymnasium,1915,21740,men,5834,13
D Street Gymnasium,1916,24228,men,3723,13
D Street Gymnasium,1917,25159,men,2430,13
D Street Gymnasium,1918,22956,men,2021,13
D Street Gymnasium,1919,5821,men,463,13
D Street Gymnasium,1920,0,men,0,13
D Street Gymnasium,1921,25818,men,3878,13
D Street Gymnasium,1922,17697,men,3366,13
East Boston Gymnasium,1914,33227,men,6157,2
East Boston Gymnasium,1915,32184,men,6003,2
East Boston Gymnasium,1916,27781,men,5124,2
East Boston Gymnasium,1917,21709,men,3714,2
East Boston Gymnasium,1918,19837,men,2830,2
East Boston Gymnasium,1920,8348,men,1467,2
East Boston Gymnasium,1921,20185,men,4512,2
East Boston Gymnasium,1922,23296,men,5044,2
East Boston Gymnasium,1923,24539,men,3308,2
East Boston Gymnasium,1924,10361,men,1633,2
North Bennet Street,1914,26513,men,5563,6
North Bennet Street,1915,19566,men,3302,6
North Bennet Street,1916,18888,men,2545,6
North Bennet Street,1917,19855,men,2373,6
North Bennet Street,1918,13337,men,1148,6
North Bennet Street,1920,5410,men,910,6
North Bennet Street,1921,23150,men,3345,6
North Bennet Street,1922,31040,men,4900,6
North Bennet Street,1923,29383,men,4155,6
North Bennet Street,1924,25438,men,3165,6
North Bennet Street,1925,5370,men,915,6
Roslindale Gymnasium,1919,4340,men,431,24
Roslindale Gymnasium,1920,13536,men,1669,24
Roslindale Gymnasium,1921,24313,men,1957,24
Roslindale Gymnasium,1922,25055,men,2665,24
Roslindale Gymnasium,1923,24835,men,3159,24
Roslindale Gymnasium,1924,22364,men,1998,24
Roslindale Gymnasium,1925,12783,men,2059,24
Ward 6,1917,12576,men,1891,6
Ward 6,1918,7222,men,782,6
Ward 6,1919,3065,men,270,6
Ward 6,1921,1134,men,203,6
Ward 6,1922,5107,men,1127,6
Ward 12,1917,31817,men,3581,12
Ward 12,1918,28404,men,3199,12
Ward 12,1919,13718,men,1266,12
Ward 12,1920,15388,men,1315,12
Ward 12,1921,18318,men,1622,12
Ward 12,1922,22449,men,2953,12
Ward 12,1923,22692,men,3199,12
Ward 12,1924,18122,men,2483,12
Ward 16,1914,50063,men,9055,16
