"year","ward","agegrp","count"
1910,20,NA,9
1910,20,"(80,90]",2
1910,21,"(20,30]",47
1910,21,"(50,60]",38
1910,21,"(30,40]",32
1910,21,"(10,20]",23
1910,21,"(40,50]",23
1910,21,"(60,70]",21
1910,21,"(0,10]",18
1910,21,"(70,80]",6
1910,21,NA,3
1910,21,"(80,90]",1
1910,22,"(30,40]",56
1910,22,"(0,10]",47
1910,22,"(10,20]",47
1910,22,"(40,50]",44
1910,22,"(20,30]",39
1910,22,"(50,60]",14
1910,22,"(60,70]",11
1910,22,NA,5
1910,22,"(70,80]",4
1910,23,"(20,30]",66
1910,23,"(30,40]",63
1910,23,"(0,10]",59
1910,23,"(10,20]",58
1910,23,"(40,50]",45
1910,23,"(50,60]",30
1910,23,"(60,70]",23
1910,23,NA,4
1910,23,"(70,80]",3
1910,23,"(80,90]",3
1910,24,"(20,30]",74
1910,24,"(30,40]",59
1910,24,"(0,10]",50
1910,24,"(10,20]",50
1910,24,"(40,50]",47
1910,24,"(50,60]",28
1910,24,"(60,70]",18
1910,24,NA,9
1910,24,"(70,80]",4
1910,24,"(80,90]",3
1910,25,"(30,40]",61
1910,25,"(0,10]",57
1910,25,"(20,30]",54
1910,25,"(40,50]",40
1910,25,"(10,20]",38
1910,25,"(50,60]",14
1910,25,"(60,70]",9
1910,25,NA,8
1910,25,"(70,80]",3
1920,0,"(30,40]",22
1920,0,"(0,10]",17
1920,0,"(10,20]",13
1920,0,"(40,50]",13
1920,0,"(20,30]",10
1920,0,"(60,70]",10
1920,0,"(80,90]",5
1920,0,"(50,60]",4
1920,0,"(70,80]",3
1920,1,"(0,10]",94
1920,1,"(10,20]",72
1920,1,"(20,30]",61
1920,1,"(40,50]",47
1920,1,"(30,40]",44
1920,1,"(50,60]",27
1920,1,NA,12
1920,1,"(60,70]",9
1920,1,"(70,80]",4
1920,2,"(0,10]",116
1920,2,"(20,30]",99
1920,2,"(10,20]",93
1920,2,"(30,40]",70
1920,2,"(40,50]",55
1920,2,"(50,60]",34
1920,2,NA,15
1920,2,"(60,70]",13
1920,2,"(70,80]",6
1920,3,"(0,10]",60
1920,3,"(20,30]",57
1920,3,"(10,20]",50
1920,3,"(30,40]",45
1920,3,"(40,50]",33
1920,3,"(50,60]",14
1920,3,"(60,70]",6
1920,3,"(70,80]",4
1920,3,NA,4
1920,3,"(80,90]",1
1920,4,"(0,10]",71
1920,4,"(30,40]",62
1920,4,"(10,20]",51
1920,4,"(40,50]",49
1920,4,"(20,30]",46
1920,4,"(50,60]",20
1920,4,"(60,70]",12
1920,4,"(70,80]",7
1920,4,NA,4
1920,4,"(80,90]",1
1920,5,"(0,10]",143
1920,5,"(20,30]",109
1920,5,"(30,40]",105
1920,5,"(10,20]",74
1920,5,"(40,50]",74
1920,5,"(50,60]",37
1920,5,"(60,70]",25
1920,5,"(70,80]",11
1920,5,NA,8
1920,5,"(80,90]",4
1920,6,"(30,40]",68
1920,6,"(20,30]",62
1920,6,"(40,50]",58
1920,6,"(0,10]",46
1920,6,"(10,20]",45
1920,6,"(50,60]",36
1920,6,"(60,70]",11
1920,6,NA,6
1920,6,"(70,80]",3
1920,6,"(80,90]",2
1920,6,"(90,100]",1
1920,7,"(30,40]",73
1920,7,"(20,30]",70
1920,7,"(40,50]",68
1920,7,"(0,10]",34
1920,7,"(50,60]",33
1920,7,"(10,20]",27
1920,7,"(60,70]",14
1920,7,"(70,80]",7
1920,7,NA,5
1920,7,"(80,90]",4
1920,8,"(20,30]",81
1920,8,"(40,50]",74
1920,8,"(30,40]",48
1920,8,"(50,60]",39
1920,8,"(0,10]",35
1920,8,"(10,20]",28
1920,8,"(60,70]",16
1920,8,"(70,80]",10
1920,8,"(80,90]",3
1920,9,"(10,20]",58
1920,9,"(0,10]",43
1920,9,"(20,30]",43
1920,9,"(40,50]",40
1920,9,"(30,40]",39
1920,9,"(50,60]",22
1920,9,"(60,70]",8
1920,9,NA,4
1920,9,"(70,80]",3
1920,10,"(0,10]",47
1920,10,"(10,20]",43
1920,10,"(30,40]",43
1920,10,"(20,30]",35
1920,10,"(40,50]",27
1920,10,"(50,60]",18
1920,10,"(60,70]",10
1920,10,"(70,80]",5
1920,10,NA,5
1920,11,"(20,30]",70
1920,11,"(0,10]",58
1920,11,"(10,20]",48
1920,11,"(30,40]",41
1920,11,"(40,50]",28
1920,11,"(50,60]",24
1920,11,"(60,70]",16
1920,11,NA,3
1920,11,"(70,80]",2
1920,11,"(80,90]",1
1920,12,"(0,10]",70
1920,12,"(20,30]",49
1920,12,"(30,40]",47
1920,12,"(10,20]",38
1920,12,"(40,50]",37
1920,12,"(50,60]",21
1920,12,"(60,70]",9
1920,12,NA,4
1920,12,"(70,80]",1
1920,12,"(80,90]",1
1920,13,"(20,30]",38
1920,13,"(30,40]",30
1920,13,"(40,50]",30
1920,13,"(50,60]",26
1920,13,"(10,20]",20
1920,13,"(0,10]",14
1920,13,"(60,70]",12
1920,13,"(70,80]",4
1920,13,NA,4
1920,13,"(80,90]",1
1920,14,"(20,30]",46
1920,14,"(10,20]",40
1920,14,"(30,40]",30
1920,14,"(0,10]",25
1920,14,"(50,60]",20
1920,14,"(40,50]",19
1920,14,"(60,70]",9
1920,14,NA,6
1920,14,"(70,80]",1
1920,14,"(80,90]",1
1920,15,"(20,30]",48
1920,15,"(40,50]",34
1920,15,"(10,20]",29
1920,15,"(30,40]",29
1920,15,"(50,60]",28
1920,15,"(0,10]",24
1920,15,"(60,70]",13
1920,15,NA,5
1920,15,"(70,80]",4
1920,16,"(20,30]",65
1920,16,"(10,20]",59
1920,16,"(0,10]",55
1920,16,"(40,50]",50
1920,16,"(30,40]",39
1920,16,"(50,60]",33
1920,16,"(60,70]",9
1920,16,NA,5
1920,16,"(70,80]",4
1920,17,"(10,20]",48
1920,17,"(20,30]",48
1920,17,"(30,40]",44
1920,17,"(0,10]",37
1920,17,"(40,50]",32
1920,17,"(50,60]",26
1920,17,"(60,70]",14
1920,17,"(70,80]",7
1920,18,"(0,10]",66
1920,18,"(10,20]",61
1920,18,"(20,30]",59
1920,18,"(30,40]",49
1920,18,"(40,50]",44
