Gym,Type,WardNo,long,lat
St. Botolph Gymnasium,public,10,-71.07757923,42.35037089
Possee Gymnasium,public,11,-71.10509057,42.34655629
Lundin's Gymnasium,public,10,-71.08177618,42.34674302
Lincoln House,public,8,-71.0672647,42.3645178
E.B. Gymnasium,public,1,-71.03648116,42.37753545
Durant,public,10,-71.0725998,42.34773446
Butler Exercise Club,public,20,-71.07105262,42.30605842
Boston Young Men's Christian Union,public,7,-71.06690902,42.35317627
Boston Young Men's Christian Association,public,10,-71.09086363,42.34182139
